Base wt%,Base 2 wt%,Support wt%,Calcination Temperature (C),Calcination time (h),Reduction Temperature (C),Reduction Pressure (bar),Reduction time  (h),Reduction  H2 %,Temperature (C),Pressure (bar),W/F (mgcat/minml),Time on Stream (h),CO % in feed,Inert % in feed,CH4 % in feed,H2O % in feed,H2/CO2 in feed,Base_Ce,Base_Co,Base_Fe,Base_Mg,Base_Mn,Base_Ni,Base_Ni-MOF,Base_NiO,Base_None,Base_Pd,Base_ReOx,Base_Rh,Base_Ru,Base 2_Al2O3,Base 2_Ba,Base 2_C,Base 2_Ca,Base 2_Ce,Base 2_CeO2,Base 2_Co,Base 2_Cs,Base 2_Cu,Base 2_Eu,Base 2_Fe,Base 2_Gd,Base 2_K,Base 2_La,Base 2_La2O3,Base 2_Li,Base 2_Mg,Base 2_Mn,Base 2_NC,Base 2_Na,Base 2_Ni,Base 2_None,Base 2_Pr,Base 2_Ru,Base 2_Sm,Base 2_Sr,Base 2_VOx,Base 2_W,Base 2_Y,Base 2_Y2O3,Base 2_Yb,Base 2_Zr,Support_AC,Support_AX,Support_Al2O3,Support_B,Support_CeO2,Support_Cr2O3,Support_Cs-Zeolite,Support_Fe2O3,Support_Gd2O3,Support_MCM-41,Support_MOF-5,Support_MSN,Support_MgO,Support_Mn3O4,Support_NC,Support_Na-Zeolite,Support_None,Support_OCF,Support_PC,Support_SA,Support_SBA-15,Support_SiC,Support_SiO2,Support_TiO2,Support_Y2O3,Support_Y2O5,Support_YMnO3,Support_Zeolite,Support_ZnO,Support_ZrO2,Support_eg-C3N4,Support 2_Al2O3,Support 2_Ba,Support 2_BaO,Support 2_CTAB,Support 2_CaO,Support 2_CeO2,Support 2_Cr2O3,Support 2_Gd2O3,Support 2_K,Support 2_MgO,Support 2_MgO-Nd2O3,Support 2_Nd2O3,Support 2_None,Support 2_Pr2O3,Support 2_Sm2O3,Support 2_SrO2,Support 2_Y2O5,Support 2_ZrO2,Catalyst preparation method_AE,Catalyst preparation method_CC,Catalyst preparation method_CI,Catalyst preparation method_CP,Catalyst preparation method_CP-MSM,Catalyst preparation method_DBD,Catalyst preparation method_DI,Catalyst preparation method_DP,Catalyst preparation method_DPA,Catalyst preparation method_DPU,Catalyst preparation method_EISA,Catalyst preparation method_FM,Catalyst preparation method_FSP,Catalyst preparation method_H,Catalyst preparation method_HTP,Catalyst preparation method_IWI,Catalyst preparation method_IWI-DBD,Catalyst preparation method_MC,Catalyst preparation method_ME,Catalyst preparation method_ME-H,Catalyst preparation method_MI,Catalyst preparation method_OH,Catalyst preparation method_OUCI,Catalyst preparation method_SCT,Catalyst preparation method_SGP,Catalyst preparation method_UH,Catalyst preparation method_WI,Catalyst preparation method_commercial
10.0,0.0,80.46609108781128,400,6.0,500,1.3140367258014316,1.0,100.0,450,1.0,2.4,20.0,0.0,50.0,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10.0,0.0,80.46609108781128,400,6.0,500,1.3140367258014316,1.0,100.0,500,1.0,2.4,20.0,0.0,50.0,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5.0,0.0,95.0,500,4.0,500,1.0,1.0,100.0,200,1.0,1.667,140.0,0.0,25.56383746470035,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5.0,0.0,95.0,500,4.0,500,1.0,1.0,100.0,212,1.0,1.667,140.0,0.0,25.56383746470035,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5.0,0.0,95.0,500,4.0,500,1.0,1.0,100.0,225,1.0,1.667,140.0,0.0,25.56383746470035,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5.0,0.0,95.0,500,4.0,500,1.0,1.0,100.0,238,1.0,1.667,140.0,0.0,25.56383746470035,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5.0,0.0,95.0,500,4.0,500,1.0,1.0,100.0,250,1.0,1.667,140.0,0.0,25.56383746470035,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5.0,0.0,95.0,500,4.0,500,1.0,1.0,100.0,275,1.0,1.667,140.0,0.0,25.56383746470035,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5.0,0.0,95.0,500,4.0,500,1.0,1.0,100.0,300,1.0,1.667,140.0,0.0,25.56383746470035,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20.0,0.0,80.0,280,2.0,420,1.0,5.0,100.0,260,1.0,1.2,36.0,0.0,10.0,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20.0,0.0,80.0,280,2.0,420,1.0,5.0,100.0,280,1.0,1.2,36.0,0.0,10.0,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20.0,0.0,80.0,280,2.0,420,1.0,5.0,100.0,300,1.0,1.2,36.0,0.0,10.0,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20.0,0.0,80.0,280,2.0,420,1.0,5.0,100.0,320,1.0,1.2,36.0,0.0,10.0,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20.0,0.0,80.0,280,2.0,420,1.0,5.0,100.0,340,1.0,1.2,36.0,0.0,10.0,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20.0,0.0,80.0,450,4.0,500,10.0,2.0,100.0,330,1.0,6.0,79.80433632998414,0.0,0.0,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20.0,0.0,80.0,450,4.0,500,10.0,2.0,100.0,350,1.0,6.0,79.80433632998414,0.0,0.0,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20.0,0.0,80.0,450,4.0,500,10.0,2.0,100.0,370,1.0,6.0,79.80433632998414,0.0,0.0,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20.0,0.0,80.0,450,4.0,500,10.0,2.0,100.0,390,1.0,6.0,79.80433632998414,0.0,0.0,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20.0,0.0,80.0,450,4.0,500,10.0,2.0,100.0,410,1.0,6.0,79.80433632998414,0.0,0.0,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20.0,0.0,80.0,450,4.0,500,10.0,2.0,100.0,430,1.0,6.0,79.80433632998414,0.0,0.0,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20.0,0.0,80.0,450,4.0,500,10.0,2.0,100.0,450,1.0,6.0,79.80433632998414,0.0,0.0,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5.0,0.0,95.0,600,4.0,600,1.0,1.0,50.0,250,1.0,5.26,6.0,0.0,21.0,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5.0,0.0,95.0,600,4.0,600,1.0,1.0,50.0,300,1.0,5.26,6.0,0.0,21.0,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5.0,0.0,95.0,600,4.0,600,1.0,1.0,50.0,350,1.0,5.26,6.0,0.0,21.0,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5.0,0.0,95.0,600,4.0,600,1.0,1.0,50.0,400,1.0,5.26,6.0,0.0,21.0,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5.0,0.0,95.0,600,4.0,600,1.0,1.0,50.0,450,1.0,5.26,6.0,0.0,21.0,0,0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
